Date,Season,Team_T1,Team_T2,Diff_Sum,Diff_BP,Diff_Ratio,Diff_Srv_Sum,Diff_Srv_Err,Diff_Srv_Ace,Diff_Srv_Eff,Diff_Rec_Sum,Diff_Rec_Err,Diff_Rec_Pos,Diff_Rec_Perf,Diff_Att_Sum,Diff_Att_Err,Diff_Att_Blk,Diff_Att_Kill,Diff_Att_Kill_Perc,Diff_Att_Eff,Diff_Blk_Sum,Diff_Blk_As,Diff_Days_since_last_match,Score
2008-11-09 15:00:00,2008/2009,PGE Skra Bełchatów,Jastrzębski Węgiel,0.6666666666666714,0.3333333333333428,2.333333333333334,0.0,0.8000000000000003,-3.3333333333333286,-0.033333333333333326,3.333333333333334,0.3333333333333357,0.036666666666666736,-0.06,-8.333333333333336,-1.6666666666666714,-0.33333333333333215,0.666666666666667,-0.0033333333333332993,0.006666666666666599,-1.333333333333334,-0.14000000000000012,1.0,2:3
2008-11-14 18:00:00,2008/2009,Chemik Bydgoszcz,Jadar Radom,8.5,9.75,4.0,0.75,0.7324999999999999,11.5,0.037500000000000006,4.0,4.5,-0.03749999999999998,0.04250000000000001,0.25,1.0,1.25,1.5,0.012500000000000011,0.0050000000000000044,3.0,0.355,0.0,1:3
2008-11-15 17:00:00,2008/2009,AZS Olsztyn,Trefl Gdańsk,-5.25,-9.75,0.5,-5.5,0.45500000000000007,-14.25,-0.012499999999999997,2.25,-8.0,0.0024999999999999467,-0.05000000000000002,-1.0,-15.25,-1.25,-5.25,-0.07250000000000001,0.0025000000000000022,1.5,1.0425,0.0,3:1
2008-11-15 17:00:00,2008/2009,ZAKSA Kędzierzyn-Koźle,Projekt Warszawa,7.5,8.0,1.5,-5.5,0.3500000000000001,-2.5,-0.027500000000000004,-7.5,7.5,0.10750000000000004,0.057499999999999996,8.0,3.75,0.0,1.0,0.05499999999999994,0.03750000000000003,0.25,0.1299999999999999,0.0,3:2
2008-11-16 14:45:00,2008/2009,Jastrzębski Węgiel,AZS Częstochowa,11.25,9.0,2.75,-0.75,0.595,-5.5,-0.010000000000000009,1.0,-4.75,-0.012499999999999956,0.010000000000000009,6.25,-8.75,-0.25,-3.75,0.0625,0.11249999999999999,2.25,0.6575000000000002,-1.0,2:3
2008-11-17 18:00:00,2008/2009,Asseco Resovia,PGE Skra Bełchatów,-8.75,-9.0,-2.5,-2.5,-0.395,-15.0,0.0,-1.25,-4.5,0.057499999999999996,0.012500000000000011,10.75,-7.25,-1.75,-0.5,-0.044999999999999984,0.0,-2.0,-0.3350000000000004,2.0,0:3
2008-11-21 18:00:00,2008/2009,Trefl Gdańsk,Jadar Radom,15.600000000000001,16.799999999999997,1.5999999999999996,2.0,0.08600000000000008,12.399999999999991,0.044,0.0,7.600000000000001,0.005999999999999894,0.025999999999999968,-1.8000000000000043,21.0,0.5999999999999996,3.0,0.136,0.04199999999999998,0.1999999999999993,-0.5,-1.0,3:0
2008-11-22 14:45:00,2008/2009,AZS Olsztyn,Jastrzębski Węgiel,-6.799999999999997,-6.799999999999997,-1.1999999999999993,-5.6,-0.03200000000000003,-7.6000000000000085,0.0,-0.8000000000000007,3.0,0.09800000000000009,-0.05999999999999994,-5.0000000000000036,-2.8000000000000114,-1.4000000000000004,-0.20000000000000018,-0.062,-0.045999999999999985,0.1999999999999993,0.4940000000000002,0.0,3:1
2008-11-22 17:00:00,2008/2009,PGE Skra Bełchatów,ZAKSA Kędzierzyn-Koźle,-6.400000000000006,-12.600000000000009,2.4000000000000004,1.4000000000000004,0.7600000000000002,-12.799999999999997,-0.009999999999999995,2.0,-14.399999999999999,-0.09199999999999997,-0.09400000000000003,-8.0,-26.200000000000003,-1.5999999999999996,-3.2,-0.09599999999999997,0.03200000000000003,1.1999999999999993,0.7219999999999995,-3.0,2:3
2008-11-22 17:00:00,2008/2009,Projekt Warszawa,Chemik Bydgoszcz,9.199999999999996,9.799999999999997,-1.2000000000000002,5.600000000000001,-0.3699999999999999,7.199999999999989,-0.009999999999999995,3.3999999999999986,3.5999999999999943,0.0020000000000000018,-0.010000000000000009,-4.600000000000001,25.0,0.3999999999999986,-2.0,0.11000000000000004,0.006000000000000061,-0.40000000000000036,-0.34799999999999986,0.0,1:3
